time;pair;interval;message
2020-04-25 11:32:08.956600;XBTUSD;1;Testerror hello
2020-04-25 11:32:09.028280;XBTUSD;1;Testerror hello
2020-04-25 11:32:09.101413;XBTUSD;1;Testerror hello
2020-04-29 02:05:58.098517;XLTCZEUR;240;EService:Busy
2020-04-29 02:06:14.809573;XLTCZUSD;60;EService:Busy
2020-04-29 02:06:31.312271;XXRPZEUR;60;EService:Busy
2020-04-29 02:08:54.894395;XXRPXXBT;240;EService:Unavailable
2020-04-29 02:09:03.062131;XXRPZEUR;5;EService:Busy
2020-04-29 02:09:12.433766;XXRPZEUR;60;EService:Unavailable
2020-04-29 02:09:37.898547;LINKETH;240;EService:Busy
2020-04-29 02:09:45.832435;LINKEUR;5;EService:Unavailable
2020-04-29 02:10:08.357247;LINKUSD;15;EService:Unavailable
2020-04-29 02:10:18.215432;LINKUSD;240;EService:Busy
2020-04-29 02:10:27.583687;DASHEUR;15;EService:Unavailable
2020-04-29 02:11:38.798822;XZECZEUR;1;EService:Busy
2020-04-29 06:33:36.281264;XZECZUSD;30;EService:Busy
2020-04-29 12:00:15.824170;XXMRXXBT;240;EService:Unavailable
2020-04-29 13:03:26.859644;ETHUSDC;15;EService:Unavailable
2020-04-29 13:05:23.427967;XXMRZEUR;15;EService:Unavailable
2020-04-29 13:06:51.332215;XXRPZEUR;15;EService:Busy
2020-04-29 13:09:13.867414;TRXETH;30;EService:Busy
2020-04-29 15:19:51.214044;OMGETH;5;EService:Busy
2020-04-29 16:23:57.776400;XLTCXXBT;240;EService:Busy
2020-04-29 16:24:03.967599;XXMRXXBT;1;EService:Busy
2020-04-29 17:27:26.335253;XXBTZUSD;60;EService:Busy
2020-04-29 18:36:38.629279;XXMRXXBT;30;EService:Busy
2020-04-29 18:38:03.743551;LINKUSD;30;EService:Unavailable
2020-04-29 18:39:11.027088;OMGEUR;15;EService:Unavailable
2020-04-29 18:39:26.571937;OMGUSD;30;EService:Unavailable
2020-04-29 18:39:38.299749;XZECXXBT;1;EService:Unavailable
2020-04-29 18:39:47.402418;XZECXXBT;15;EService:Unavailable
2020-04-29 18:40:10.813040;XZECZUSD;1;EService:Unavailable
2020-04-29 18:40:27.910570;TRXETH;5;EService:Unavailable
2020-04-29 18:40:47.013453;TRXEUR;1;EService:Unavailable
2020-04-30 09:52:29.649493;XXBTZUSD;1;EService:Unavailable
2020-04-30 09:58:16.640170;TRXEUR;30;EService:Busy
2020-04-30 09:58:26.323734;TRXUSD;1;EService:Busy
2020-04-30 17:37:21.554653;TRXEUR;5;EService:Unavailable
2020-04-30 18:43:13.603148;TRXEUR;1;EService:Busy
